# source: http://www.rsc.org/Membership/Networking/InterestGroups/Analytical/AMC/Datasets/index.asp
# Pattern recognition data. 16 trace elements determined in 186 pieces 
# of flint collected at 11 different locations
#TITLE: 	Trace elements in archaeological flint from different locations
#DESCRIPTION:	186 samples, 11 different locations, 16 trace elements.
#VARIABLES:	Li, Na, etc:  Element symbols.; Location:  Code identifying the different sites; 
#UNITS:		Mass fraction times 10^6 (parts per million)
#REFERENCE_VALUES:	None
#APPLICATION_SECTOR:	Archaeometry
#ANALYTE:	Trace elements
#MATRIX_TYPE:	Flint
#RATIONALE:	Source determination, supervised learning
#DATA_TYPE:	Mulitvariate
#DATA_STRUCTURE:	Simple. Each row shows results for a different object.
#CONDITIONS:	Repeatability
#ORIGIN:	Experimental
#DATE_OF_ORIGIN:	1986
#AUTHOR:	Professor Michael Thompson
#AUTHOR_ADDRESS:	School of Biological and Chemical Sciences, Birkbeck College (University of London), Malet Street, London WC1E 7HX, 	 
#LITERATURE_REFERENCES:	M Thompson, P R Bush and J Ferguson (1986); THE ANALYSIS OF FLINT BY ICPAES AS A METHOD OF SOURCE DETERMINATION. In: G de G Sieveking (ed), ‘The  Scientific Study of Flint’, Proceedings of the International Flint Symposium 1983, Brighton, pp 243-247.
Li	Na	K	Be	Mg	Ca	Sr	Ba	Al	Ti	V	Mn	Fe	Cu	Zn	P	Location
2.6	170	210	0.4	17.8	172	29	143	470	24	3.4	1.81	1420	0.95	7.5	1.97	6
4.9	186	290	0.4	30	153	9.3	101	590	30	5.3	5.6	1350	0.3	9.5	3.6	6
5.3	165	240	0.2	25	210	1.19	8.3	640	39	13.8	5.4	1320	0.2	5.1	4.5	6
7.5	181	260	0.2	24	122	2.7	64	520	28	4.7	7.3	1040	0.4	7.3	7.7	6
4.8	143	183	0.2	18.2	108	0.81	7.4	410	23	4.7	2.9	510	0.3	3.4	2.1	6
36	137	320	0.2	64	1650	4	14.5	1010	75	7	5	730	0.4	3.8	6.7	6
4.8	176	230	0.3	27	109	11.5	126	530	29	5.7	7.5	1870	0.4	10.3	0.98	6
1.49	137	143	0.2	10.8	54	0.4	1.09	189	5.1	0.51	0.3	197	0.3	1.57	1.7	6
1.24	167	125	0.03	57	5500	11.6	1.68	200	8.6	1.55	2.1	58	0.4	1.08	230	7
6.8	98	87	0.01	60	6400	13.3	2.6	210	10.7	2	2.4	146	0.5	1.41	240	7
1.44	149	115	0.02	94	10100	17.1	5.4	210	9.4	1.72	3.2	111	0.4	0.84	200	7
1.26	134	104	0.03	45	4400	10.4	5.6	182	9.6	1.7	1.45	160	0.5	1.32	250	7
0.81	169	107	0.02	101	10900	15.9	1.08	161	8.5	1.97	2.9	178	0.5	1.35	178	7
2.4	155	136	0.02	33	2600	7.2	2.2	240	10.7	1.73	1.57	115	0.5	1.19	181	7
1.84	143	114	0.02	119	12900	18.2	3.2	198	9.7	1.93	3.2	220	0.56	1.34	199	7
2	113	81	0.02	250	25000	39	1.71	173	8.6	1.48	5.9	123	0.66	1.27	179	7
4.7	260	200	1.1	19.7	420	3.3	2.3	530	22	0.76	0.4	57	0.5	3.4	106	1
19.8	220	220	0.3	18.9	350	2.8	2.8	650	28	1.32	0.56	72	0.7	1.45	66	1
4.3	240	194	0.52	20	570	3.8	5.9	550	27	1.24	0.78	270	0.56	6.1	107	1
4.6	210	230	0.4	24	300	2.5	2.3	510	32	1	1.05	54	0.84	0.99	60	1
1.82	162	135	0.05	27	2200	7.1	0	230	8.8	1.1	0.2	64	0.73	3.7	27	5
7.4	260	250	0.099	33	1810	9.7	25	610	33	1.96	0.68	47	0.4	5	48	5
2.4	230	230	0.093	23	580	3.8	12.3	400	12.1	1.21	3.1	50	0.3	1.16	116	8
3.4	220	210	0.4	20	290	2.8	13.1	390	13.9	0.94	2.6	61	0.3	0.59	89	8
4.3	230	230	0.1	28	2200	5.9	6.7	430	15.7	1.03	2.9	83	1.83	1.35	37	8
7.4	210	210	0.1	34	3300	6.3	8.6	420	13.1	1.02	4.9	130	1.38	2.9	59	8
2.9	210	194	0.4	25	1260	3.2	7.3	330	11.7	0.8	2.5	65	0.3	1.1	40	8
3.5	210	210	0.4	19	230	2.5	8.2	380	13.3	0.9	1.5	116	0.4	0.97	57	8
0.76	184	148	0.08	17.7	510	3.1	0	240	9.1	1.17	2.2	63	0.86	4	32	5
1.05	166	137	0.054	53	6100	15.9	0	240	9.3	1.09	1.72	50	0.77	4.5	32	5
1.21	185	149	0.066	17.1	570	3.2	0	260	9.5	1.11	0.5	77	0.74	2.4	31	5
1.41	173	154	0.066	16.8	420	3.1	0	290	9	1.27	0	103	0.88	2.4	39	5
0.97	151	109	0.052	47	5700	16.9	0	173	4.9	0.63	1.07	25	0.51	1.81	82	3
5.1	70	84	0.02	22	2400	9.1	0	190	8.9	0.68	2.9	24	0.71	3.9	155	3
2.3	130	93	0.04	113	17600	41	0	169	6.7	0.7	4.4	16.6	0.63	2.9	165	3
10	36	46	0.01	75	11000	23	12.5	168	11.6	1.34	13.8	78	0.87	2.8	71	9
7.8	169	147	0.04	36	3800	11.9	6.8	320	12.3	1.28	3.4	53	0.5	2.1	114	9
15.5	45	55	0.01	119	19200	39	7.1	210	12	1.45	8.9	41	1.26	1.84	58	9
14.8	120	120	0.03	66	9700	23	7.7	320	12.1	1.24	4.6	50	0.64	2.3	55	9
2.5	190	162	0.061	26	1720	6.5	4.5	310	12.9	1.35	1.86	143	0.82	3	64	9
1.86	176	148	0.05	35	3400	10	6.4	270	11.2	1.25	2.6	130	0.63	2.6	72	9
7.4	164	156	0.04	58	7600	19	4.9	350	12	1.46	3.4	77	0.93	3.1	78	9
17.3	52	62	0.01	56	9400	22	6.2	270	11.9	1.41	4.2	62	0.85	2.3	47	9
1.79	170	142	0.05	37	3700	10.8	5.6	260	10.7	1.14	2.2	52	0.94	1.42	80	9
15.2	53	76	0.02	73	11800	27	5	270	12.8	1.38	4.5	36	0.8	1.68	47	9
11.9	71	94	0.02	56	8500	20	6.3	270	12.1	1.53	3.9	53	0.4	2.4	55	9
10.7	136	130	0.04	38	4500	12.2	7.2	310	14.3	1.11	2.8	41	1.21	2.6	59	9
11.7	50	61	0.01	82	14700	34	6.4	240	12	1.52	7	68	1.1	2.5	48	9
4.1	179	172	0.053	53	6500	17.3	6.3	340	11	1.16	3.1	34	1.15	2.1	100	9
7.6	141	148	0.03	45	5100	13.2	8.4	330	12	1.28	3.5	45	0.68	1.98	57	9
3.2	196	169	0.063	17.9	640	4.1	7.9	340	14.5	1.21	2.9	49	0.69	1.99	87	9
4.5	186	146	0.081	148	23000	52	7.1	230	12.1	3.4	9	93	1.2	3.4	58	9
7.8	89	91	0.03	137	19700	36	10.6	159	6.4	1.07	12.5	19.1	0.87	2.3	72	10
2.8	161	149	0.058	25	1730	6.3	10.1	250	9.3	1.12	3.4	350	0.4	3	94	10
0.76	166	130	0.055	18.7	890	4.4	4.9	183	7.1	0.78	0.84	23	0.4	2.5	79	10
4.6	153	128	0.095	16.5	1140	7.1	16.5	200	5.3	1.41	8.5	490	0.57	12.1	200	10
1.96	157	126	0.1	15.3	146	1.82	10.7	200	5.4	0.4	2.2	45	0.071	0.56	18.3	10
2.9	162	148	0.053	24	1880	7.3	8	260	10.8	1.02	1.86	43	0.54	2.2	53	10
13.9	74	71	0.02	44	6600	15.9	4.5	250	10.4	0.85	2.9	39	0.4	1.78	65	10
2.6	183	150	0.04	53	6700	19.5	4.8	260	10.7	1.23	2.7	45	0.84	2.3	36	10
1.7	169	140	0.051	40	4400	13	5.5	250	10.3	1.13	3	34	0.65	2.2	51	10
3	118	105	0.05	23	2500	7.4	17.4	192	4.5	1.11	4.9	81	0.2	2.4	146	10
9.2	128	144	0.03	18.2	970	4.3	10.6	310	10.4	1.09	3.1	41	0.83	2.1	39	10
7.5	103	107	0.02	27	3000	9.9	15.5	220	6.9	0.93	3.4	33	0.5	2.8	56	10
6.8	114	101	0.03	37	4900	20	10.6	193	5.9	1.33	1.81	45	0.65	2.7	520	10
1.4	200	166	0.091	28	1690	7.2	24	270	2.7	1.4	4.4	17.3	0	2.6	74	10
0.93	160	129	0.05	34	3300	10.5	4.8	210	9	1.25	1.75	29	0.62	1.78	62	10
10.5	135	123	0.057	134	17700	27	5.7	290	9.9	1.27	8.8	59	0.81	8	57	10
1.5	165	138	0.057	51	6800	18.4	1.02	250	9.9	1.4	2.6	59	1	2.4	60	10
2.8	159	133	0.052	65	9500	25	0	260	10.9	1.65	2.3	71	1.12	2.8	65	10
11	129	90	0.03	48	6900	17.5	15.3	230	11.1	1.41	2.6	55	0.55	2.2	109	11
0.74	159	122	0.05	21	1310	4.9	5.1	183	7.5	1.01	1.61	78	1.06	3.4	80	11
5.5	94	78	0.03	29	3500	8.9	6.2	162	6.3	1.47	2.2	70	0.55	2.6	102	11
9.1	94	84	0.02	28	3600	10.1	3.9	200	8.4	1.31	1.61	51	0.83	2.4	80	11
1.64	141	113	0.03	33	3500	11	9.2	192	6.6	0.99	2.5	52	0.51	3.3	76	11
1.31	184	142	0.05	26	2200	9.4	7.1	250	12.2	1.19	0.72	59	0.75	2.2	57	11
6.9	90	85	0.02	63	9000	21	3.1	198	7	1.02	3.8	48	0.59	2.1	65	11
2.7	138	102	0.04	31	3100	7.8	5.9	170	5.9	1.02	2.3	109	0.4	2.8	93	11
1.69	153	120	0.05	70	9500	22	8.6	210	8.6	1.47	4.8	69	0.8	3	80	11
3.9	132	113	0.03	34	3500	9.4	7.7	177	6.2	0.82	2.5	35	0.5	1.97	89	11
2	137	103	0.03	67	9300	20	5	169	5.3	0.76	3.6	41	0.52	2.6	92	11
11.9	86	90	0.02	27	3000	9	5	240	9.8	1.04	1.69	38	0.56	2	53	11
1.74	183	148	0.05	44	4800	13.3	7.4	250	9.6	0.96	2.8	31	0.76	1.33	56	11
1.18	173	136	0.064	38	4500	12.8	6.4	220	8	0.99	2.5	39	0.67	1.9	77	11
1.05	163	129	0.054	36	4200	12.4	5.2	230	7.8	1.09	1.93	60	0.75	1.76	103	11
1.99	194	148	0.1	55	7300	19.3	7.6	260	9	1.45	3.4	143	1.11	2.7	68	11
1.29	167	137	0.052	39	4600	13.4	9.6	240	8.9	1.4	3.1	89	0.94	2.1	71	11
6.3	131	133	0.03	36	3600	10.1	8.5	260	9.4	0.94	2.6	38	1.04	2.1	72	11
2.2	166	136	0.04	59	7500	18.2	13.8	210	6.7	0.8	4.6	25	0.4	3	87	11
7.8	161	175	0.2	38	5400	8.9	5.9	390	12.8	0.7	4.8	55	0.4	1.12	44	8
3.7	220	230	0.1	26	1460	4.5	6.7	440	14.4	1.41	2.9	75	0.3	1.76	59	8
0.89	172	142	0.063	22	1380	5.7	4.6	220	8.5	1.04	1.37	54	0.81	1.7	66	8
5.2	179	167	0.2	18.3	790	3.7	5.4	310	10.4	0.88	4.5	195	0.3	2.7	81	8
15	68	94	0.07	51	12500	19.1	4.3	310	7.5	0.65	11.3	81	0.4	2.6	76	8
4.4	220	220	0.3	27	1680	5.6	7.9	450	14.3	0.98	2.6	53	0.5	0.95	86	8
10.7	188	220	0.2	29	3100	8.7	9.1	520	14.1	0.91	6.3	127	0.2	2.2	93	8
7.2	198	200	0.4	21	780	3.5	6	450	13.1	0.76	2.3	70	0.83	1.02	68	8
4.5	230	240	0.1	33	2800	6.8	6.6	490	15.8	1.39	3.4	52	0.57	1.31	52	8
12.9	73	107	0.055	82	18500	28	4.2	310	10.1	1.1	13.5	86	0.54	2.3	58	8
0.69	173	141	0.073	16.5	410	2.9	0	240	9.4	1.11	0.2	85	0.82	2.7	43	5
1.14	169	135	0.051	47	5700	16.8	0	240	9.4	1.62	1.66	54	0.8	3.4	32	5
1.02	169	132	0.053	50	6300	18.2	0	240	9.1	1.17	1.71	78	0.95	4.2	30	5
4.7	139	152	0.2	15.6	197	1.84	0	230	8.1	1.23	0	43	1.02	1.5	36	5
2.5	230	210	0.4	22	540	3.4	8.4	400	11.6	0.93	2.9	56	0.52	0.63	73	8
12.9	186	210	0.1	36	4100	9.5	6.2	440	15.3	1.18	4.1	71	0.85	2.2	54	8
14.2	79	103	0.08	117	29000	47	6	300	12.9	1.31	24	101	0.86	2.1	220	8
6.4	108	95	0.03	41	5300	13.9	9.6	192	7.3	1	3.3	34	0.5	2.1	59	10
11.7	91	116	0.02	18.8	1830	6.1	0	300	32	1.06	0.4	47	0.95	1.86	38	10
1.87	150	115	0.04	119	20000	54	0	240	8.4	2.2	6.7	106	0.95	3	38	5
7.4	145	132	0.03	40	4300	12.3	0	260	34	1.13	0.69	41	0.84	2.2	101	5
1.75	180	146	0.052	40	4100	13	0	250	12	1.22	0.4	46	0.85	3.4	52	5
